# hard hit
86.58 32
86.69 28
86.80 12
86.91 24
87.02 26
87.14 19
87.25 3
87.36 35
87.47 51
87.58 19
87.70 11
87.81 25
87.92 20
88.03 1
88.15 22
88.26 33
88.37 28
88.48 19
88.59 13
88.71 4
88.82 7
88.93 4
89.04 10
89.15 17
89.27 19
89.38 5
89.49 13
89.60 30
89.72 41
89.83 6
89.94 11
90.05 16
90.16 24
90.28 5
90.39 46
90.50 51
90.61 23
90.72 0
90.84 10
90.95 6
91.06 8
91.17 10
91.29 2
91.40 10
91.51 4
91.62 11
91.73 17
91.85 26
91.96 31
92.07 1
92.18 24
92.29 8
92.41 2
92.52 8
92.63 50
92.74 46
92.86 11
92.97 10
93.08 32
93.19 25
93.30 1
93.42 18
93.53 19
93.64 20
93.75 9
93.86 10
93.98 17
94.09 2
94.20 1
94.31 14
94.43 3
94.54 6
94.65 3
94.76 14
94.87 36
94.99 26
95.10 14
95.21 17
95.32 15
95.43 17
95.55 12
95.66 42
95.77 39
95.88 23
96.00 5
96.11 16
96.22 2
96.33 10
96.44 3
96.56 12
96.67 10
96.78 3
96.89 10
97.00 0
97.12 1
97.23 17
97.34 0
97.45 17
97.57 6
97.68 8
97.79 28
97.90 43
98.01 20
98.13 10
98.24 0
98.35 22
98.46 15
98.57 8
98.69 18
98.80 22
98.91 14
99.02 6
99.14 0
99.25 13
99.36 6
99.47 1
99.58 7
99.70 2
99.81 12
99.92 14
100.03 11
100.14 28
100.26 24
100.37 7
100.48 18
100.59 16
100.71 2
100.82 18
100.93 21
101.04 25
101.15 23
101.27 7
101.38 21
101.49 2
101.60 4
101.71 11
101.83 24
101.94 12
102.05 9
102.16 24
102.28 6
102.39 8
102.50 1
102.61 9
102.72 8
102.84 0
102.95 6
103.06 25
103.17 37
103.28 15
103.40 3
103.51 8
103.62 11
103.73 3
103.85 8
103.96 22
104.07 36
104.18 18
104.29 8
104.41 2
104.52 1
104.63 13
104.74 0
104.85 3
104.97 3
105.08 23
105.19 19
105.30 4
105.42 10
105.53 8
105.64 1
105.75 2
105.86 6
105.98 6
106.09 27
106.20 19
106.31 10
106.42 5
106.54 6
106.65 16
106.76 11
106.87 1
106.99 21
107.10 28
107.21 9
107.32 6
107.43 13
107.55 2
107.66 3
107.77 1
107.88 1
107.99 12
108.11 16
108.22 4
108.33 6
108.44 13
108.56 4
108.67 5
108.78 13
108.89 9
109.00 6
109.12 15
109.23 18
109.34 32
109.45 25
109.56 1
109.68 10
109.79 7
109.90 4
110.01 3
110.13 4
110.24 12
110.35 22
110.46 13
110.57 2
110.69 5
110.80 10
110.91 3
111.02 8
111.13 3
111.25 9
111.36 23
111.47 25
111.58 17
111.70 5
111.81 8
111.92 12
112.03 8
112.14 6
112.26 14
112.37 31
112.48 19
112.59 2
112.70 2
112.82 4
112.93 7
113.04 11
113.15 2
113.27 21
113.38 28
113.49 16
113.60 9
113.71 6
113.83 5
113.94 1
114.05 12
114.16 17
114.27 0
114.39 13
114.50 17
114.61 21
114.72 20
114.84 0
114.95 12
115.06 15
115.17 6
115.28 16
115.40 26
115.51 20
115.62 17
115.73 12
115.84 3
115.96 12
116.07 9
116.18 0
116.29 7
116.41 2
116.52 2
116.63 6
116.74 15
116.85 23
116.97 11
117.08 10
117.19 12
117.30 2
117.41 2
117.53 14
117.64 32
117.75 27
117.86 5
117.98 10
118.09 16
118.20 10
118.31 0
118.42 1
118.54 11
118.65 22
118.76 15
118.87 0
118.98 1
119.10 7
119.21 7
119.32 0
119.43 6
119.55 1
119.66 11
119.77 21
119.88 23
119.99 11
120.11 6
120.22 15
120.33 18
120.44 14
120.55 11
120.67 29
120.78 21
120.89 10
121.00 4
121.12 3
121.23 1
121.34 1
121.45 5
121.56 16
121.68 12
121.79 0
121.90 0
122.01 10
122.12 12
