# mic drop
80.97 5
81.08 5
81.19 5
81.30 5
81.42 5
81.53 5
81.64 5
81.75 5
81.86 5
81.98 5
82.09 5
82.20 5
82.31 5
82.43 5
82.54 5
82.65 5
82.76 5
82.87 5
82.99 5
83.10 5
83.21 5
83.32 5
83.43 5
83.55 4
83.66 5
83.77 5
83.88 5
84.00 5
84.11 5
84.22 5
84.33 5
84.44 5
84.56 5
84.67 5
84.78 5
84.89 5
85.00 5
85.12 5
85.23 5
85.34 5
85.45 5
85.57 5
85.68 5
85.79 5
85.90 5
86.01 5
86.13 5
86.24 5
86.35 5
86.46 5
86.58 5
86.69 5
86.80 5
86.91 5
87.02 5
87.14 5
87.25 5
87.36 5
87.47 5
87.58 5
87.70 5
87.81 5
87.92 5
88.03 5
88.15 4
88.26 4
88.37 4
88.48 5
88.59 5
88.71 5
88.82 5
88.93 4
89.04 4
89.15 4
89.27 4
89.38 4
89.49 5
89.60 5
89.72 5
89.83 4
89.94 4
90.05 4
90.16 4
90.28 4
90.39 5
90.50 5
90.61 5
90.72 5
90.84 5
90.95 5
91.06 5
91.17 5
91.29 5
91.40 5
91.51 5
91.62 5
91.73 5
91.85 4
91.96 4
92.07 4
92.18 4
92.29 4
92.41 5
92.52 4
92.63 4
92.74 4
92.86 4
92.97 4
93.08 4
93.19 4
93.30 4
93.42 4
93.53 4
93.64 4
93.75 4
93.86 4
93.98 4
94.09 4
94.20 4
94.31 4
94.43 4
94.54 4
94.65 4
94.76 4
94.87 4
94.99 4
95.10 4
95.21 4
95.32 4
95.43 4
95.55 4
95.66 4
95.77 5
95.88 5
96.00 5
96.11 5
96.22 4
96.33 4
96.44 4
96.56 4
96.67 5
96.78 5
96.89 4
97.00 4
97.12 4
97.23 4
97.34 4
97.45 5
97.57 4
97.68 4
97.79 4
97.90 4
98.01 4
98.13 4
98.24 4
98.35 4
98.46 4
98.57 4
98.69 4
98.80 4
98.91 4
99.02 4
99.14 5
99.25 4
99.36 4
99.47 4
99.58 4
99.70 4
99.81 4
99.92 5
100.03 5
100.14 4
100.26 4
100.37 4
100.48 4
100.59 5
100.71 4
100.82 4
100.93 4
101.04 4
101.15 5
101.27 5
101.38 4
101.49 2
101.60 3
101.71 5
101.83 6
101.94 5
102.05 5
102.16 4
102.28 3
102.39 3
102.50 5
102.61 5
102.72 5
102.84 4
102.95 3
103.06 3
103.17 4
103.28 4
103.40 4
103.51 5
103.62 5
103.73 3
103.85 2
103.96 3
104.07 4
104.18 4
104.29 3
104.41 3
104.52 3
104.63 4
104.74 5
104.85 5
104.97 4
105.08 3
105.19 3
105.30 4
105.42 5
105.53 5
105.64 5
105.75 4
105.86 2
105.98 3
106.09 3
106.20 4
106.31 5
106.42 5
106.54 4
106.65 3
106.76 3
